Waktu,Query_User
2025-12-16 01:09:58,tempat kemah jawa tengah yang bagus
2025-12-16 01:23:05.002491,tempatnya adem
2025-12-16 01:23:08.594329,tempatnya sejuk
2025-12-16 01:23:14.761676,tempat kemah di jogja
2025-12-16 01:23:18.054314,tempat kemah di jogja
2025-12-16 01:23:19.163124,tempat kemah di jogja
2025-12-16 01:29:41,tempat kemah di daerah wonosobo
2025-12-16 01:29:45,tempat kemah di daerah wonosobo
2025-12-16 01:29:47,tempat kemah di daerah wonosobo
2025-12-16 01:47:45,tempat kemah jawa tengah yang bagus,"['tempatkemah', 'jawa', 'tengah', 'bagus']",None,jawa tengah
2025-12-16 01:47:56,tempat kemah jawa tengah yang bagus,"['tempatkemah', 'jawa', 'tengah', 'bagus']",None,jawa tengah
2025-12-16 01:47:58,tempat kemah jawa tengah yang bagus,"['tempatkemah', 'jawa', 'tengah', 'bagus']",None,jawa tengah
2025-12-16 01:48:02,tempat kemah jawa tengah yang bagus,"['tempatkemah', 'jawa', 'tengah', 'bagus']",None,jawa tengah
2025-12-16 01:48:06,tempat kemah jawa tengah yang bagus,"['tempatkemah', 'jawa', 'tengah', 'bagus']",None,jawa tengah
2025-12-16 01:48:24,tempat kemah jawa tengah yang bagus,"['tempatkemah', 'jawa', 'tengah', 'bagus']",None,jawa tengah
2025-12-16 01:49:05,tempat kemah jawa tengah yang bagus,"['tempatkemah', 'jawa', 'tengah', 'bagus']",None,jawa tengah
